iter	Passed	Remaining
457	812	961
458	813	958
459	814	955
460	814	952
461	815	950
462	816	947
463	817	944
464	818	941
465	819	938
466	820	935
467	820	932
468	821	929
469	822	927
470	822	924
471	823	921
472	824	918
473	824	915
474	825	912
475	826	909
476	827	907
477	828	904
478	829	901
479	829	899
480	830	896
481	831	893
482	832	890
483	832	887
484	833	885
485	834	882
486	834	879
487	835	877
488	836	874
489	837	871
490	838	869
491	839	866
492	840	863
493	840	861
494	841	858
495	842	856
496	843	853
497	843	850
498	844	847
499	845	845
500	846	842
501	847	840
502	848	838
503	848	835
504	849	832
505	850	830
506	851	828
507	852	826
508	853	823
509	854	820
510	855	818
511	856	816
512	857	813
513	858	811
514	859	809
515	859	806
516	866	809
517	867	807
518	868	804
519	868	802
520	869	799
521	870	796
522	871	794
523	871	792
524	872	789
525	873	787
526	874	784
527	875	782
528	876	780
529	877	778
530	878	776
531	880	774
532	881	772
533	882	770
534	883	767
535	884	765
536	885	763
537	885	760
538	886	758
539	887	755
540	888	753
541	888	750
542	889	748
543	890	746
544	891	744
545	892	742
546	893	740
547	894	737
548	895	735
549	896	733
550	898	732
551	899	730
552	900	727
553	900	725
554	901	722
555	902	720
556	902	718
557	903	715
558	904	713
559	905	711
560	905	708
561	906	706
562	907	704
563	908	702
564	909	699
565	910	697
566	910	695
567	911	693
568	912	691
569	912	688
570	913	686
571	914	684
572	915	682
573	916	679
574	916	677
575	917	675
576	918	673
577	919	670
578	919	668
579	920	666
580	921	664
581	922	662
582	922	660
583	923	657
584	924	655
585	925	653
586	925	651
587	926	649
588	927	646
589	927	644
590	928	642
591	929	640
592	930	638
593	930	636
594	931	634
595	932	632
596	933	629
597	933	627
598	935	626
599	936	624
600	937	622
601	938	620
602	939	618
603	940	616
604	941	614
605	942	612
606	942	610
607	943	608
608	944	606
609	945	604
610	945	602
611	946	600
612	947	598
613	948	596
614	948	593
615	949	591
616	950	589
617	951	588
618	952	586
619	952	584
620	953	582
621	954	580
622	955	578
623	956	576
624	956	574
625	957	572
626	958	570
627	959	568
628	960	566
629	961	564
630	961	562
631	962	560
632	963	558
633	964	556
634	964	554
635	965	552
636	966	550
637	967	548
638	968	546
639	968	545
640	969	543
641	970	541
642	971	539
643	972	537
644	972	535
645	973	533
646	974	531
647	975	529
648	975	527
649	976	525
650	977	523
651	977	521
652	978	520
653	979	518
654	980	516
655	980	514
656	981	512
657	982	510
658	983	508
659	983	506
660	984	504
661	985	503
662	985	501
663	986	499
664	987	497
665	988	495
666	989	493
667	989	491
668	990	490
669	991	488
670	992	486
671	992	484
672	993	482
673	994	480
674	995	479
675	995	477
676	996	475
677	997	473
678	998	472
679	999	470
680	999	468
681	1000	466
682	1001	464
683	1002	462
684	1002	461
685	1003	459
686	1004	457
687	1004	455
688	1005	453
689	1006	452
690	1007	450
691	1008	448
692	1009	447
693	1009	445
694	1010	443
695	1011	441
696	1012	440
697	1013	438
698	1014	436
699	1015	435
700	1015	433
701	1016	431
702	1017	429
703	1018	428
704	1019	426
705	1019	424
706	1020	422
707	1021	421
708	1022	419
709	1022	417
710	1023	416
711	1024	414
712	1025	412
713	1027	411
714	1028	409
715	1029	408
716	1030	406
717	1031	405
718	1032	403
719	1033	401
720	1034	400
721	1035	398
722	1035	396
723	1036	395
724	1037	393
725	1038	391
726	1038	390
727	1039	388
728	1040	386
729	1041	385
730	1042	383
731	1042	381
732	1043	380
733	1044	378
734	1045	376
735	1045	375
736	1046	373
737	1047	371
738	1048	370
739	1048	368
740	1049	366
741	1050	365
742	1051	363
743	1051	361
744	1052	360
745	1053	358
746	1053	356
747	1054	355
748	1055	353
749	1056	352
750	1057	350
751	1058	349
752	1059	347
753	1060	345
754	1060	344
755	1061	342
756	1062	341
757	1063	339
758	1064	337
759	1064	336
760	1065	334
761	1066	333
762	1067	331
763	1067	329
764	1068	328
765	1069	326
766	1069	325
767	1070	323
768	1071	321
769	1072	320
770	1073	318
771	1074	317
772	1074	315
773	1075	314
774	1076	312
775	1077	310
776	1077	309
777	1078	307
778	1079	306
779	1080	304
780	1081	303
781	1081	301
782	1082	300
783	1083	298
784	1084	296
785	1084	295
786	1085	293
787	1086	292
788	1087	290
789	1088	289
790	1089	287
791	1090	286
792	1091	284
793	1091	283
794	1092	281
795	1093	280
796	1093	278
797	1094	277
798	1095	275
799	1096	274
800	1096	272
801	1097	270
802	1098	269
803	1099	267
804	1099	266
805	1100	264
806	1101	263
807	1102	262
808	1103	260
809	1104	259
810	1105	257
811	1105	256
812	1106	254
813	1107	253
814	1108	251
815	1108	250
816	1109	248
817	1110	246
818	1110	245
819	1111	244
820	1112	242
821	1113	241
822	1113	239
823	1114	238
824	1115	236
825	1116	235
826	1116	233
827	1117	232
828	1119	230
829	1119	229
830	1120	227
831	1121	226
832	1122	224
833	1123	223
834	1124	222
835	1124	220
836	1126	219
837	1127	217
838	1128	216
839	1128	215
840	1129	213
841	1130	212
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1136	203
848	1137	202
849	1138	200
850	1138	199
851	1139	197
852	1140	196
853	1141	195
854	1141	193
855	1142	192
856	1143	190
857	1143	189
858	1144	187
859	1145	186
860	1146	185
861	1146	183
862	1147	182
863	1148	180
864	1149	179
865	1150	177
866	1150	176
867	1151	175
868	1152	173
869	1153	172
870	1153	170
871	1154	169
872	1155	168
873	1155	166
874	1156	165
875	1157	163
876	1157	162
877	1158	160
878	1159	159
879	1159	158
880	1160	156
881	1161	155
882	1163	154
883	1164	152
884	1164	151
885	1165	150
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1169	143
891	1170	141
892	1171	140
893	1172	138
894	1172	137
895	1173	136
896	1174	134
897	1174	133
898	1175	132
899	1176	130
900	1178	129
901	1180	128
902	1181	126
903	1182	125
904	1183	124
905	1183	122
906	1184	121
907	1185	120
908	1185	118
909	1186	117
910	1187	115
911	1188	114
912	1188	113
913	1189	111
914	1190	110
915	1193	109
916	1195	108
917	1197	106
918	1198	105
919	1199	104
920	1200	102
921	1200	101
922	1201	100
923	1202	98
924	1203	97
925	1204	96
926	1204	94
927	1205	93
928	1206	92
929	1207	90
930	1208	89
931	1209	88
932	1210	86
933	1211	85
934	1212	84
935	1213	82
936	1214	81
937	1214	80
938	1216	79
939	1217	77
940	1218	76
941	1219	75
942	1219	73
943	1220	72
944	1221	71
945	1222	69
946	1223	68
947	1224	67
948	1225	65
949	1226	64
950	1227	63
951	1228	61
952	1229	60
953	1230	59
954	1231	58
955	1231	56
956	1232	55
957	1233	54
958	1233	52
959	1234	51
960	1235	50
961	1236	48
962	1236	47
963	1237	46
964	1238	44
965	1239	43
966	1240	42
967	1241	41
968	1242	39
969	1243	38
970	1244	37
971	1245	35
972	1246	34
973	1247	33
974	1248	32
975	1249	30
976	1250	29
977	1250	28
978	1251	26
979	1252	25
980	1253	24
981	1255	23
982	1256	21
983	1257	20
984	1258	19
985	1258	17
986	1260	16
987	1261	15
988	1262	14
989	1262	12
990	1263	11
991	1264	10
992	1265	8
993	1265	7
994	1266	6
995	1267	5
996	1268	3
997	1274	2
998	1274	1
999	1275	0
